bgc_id,organism,biosynth_class,n_genes,novelty_hashed,novelty_learned,novelty_esm
BGC0000809,Actinomadura melliaura,other,28,0.7148007590132828,1.0,0.24876660341555978
BGC0001075,Rhodococcus erythropolis,hybrid,11,0.5502846299810247,0.9994307400379507,0.9400379506641365
BGC0002968,Micromonospora  sp. L5,RiPP,5,0.07191650853889943,0.9992409867172676,0.8064516129032258
BGC0002859,Burkholderia ambifaria BCC0203,PKS,86,0.8261859582542694,0.9988614800759014,0.6937381404174574
BGC0002967,Neisseria  lactamica  NCTC10618,RiPP,3,0.13757115749525617,0.9986717267552183,0.901518026565465
BGC0002861,Dendrosporobacter quercicolus DSM 1736,PKS,1,0.17988614800759012,0.9981024667931688,0.9975332068311196
BGC0001888,Ustilago maydis 521,other,6,0.3717267552182163,0.9977229601518026,0.7817836812144212
BGC0001267,Claviceps fusiformis,terpene,13,0.21764705882352942,0.9973434535104364,0.4607210626185958
BGC0000654,Streptomyces sp. Tu6071,terpene,35,0.2064516129032258,0.9969639468690702,0.13263757115749525
BGC0001974,Digenea simplex,other,5,0.09392789373814042,0.996584440227704,0.9831119544592031
BGC0002496,Serratia plymuthica,NRPS,14,0.3777988614800759,0.9962049335863378,0.5981024667931689
BGC0002449,uncultured bacterium,other,11,0.5700189753320684,0.9956356736242884,0.8318785578747628
BGC0002530,Brucella abortus 2308,NRPS,3,0.03396584440227704,0.9952561669829223,0.9074003795066414
BGC0002290,Biscogniauxia sp.,other,11,0.2155597722960152,0.994876660341556,0.42011385199240986
BGC0002656,Streptacidiphilus oryzae TH49,PKS,29,0.6313092979127135,0.9944971537001897,0.4130929791271347
BGC0001905,Streptomyces somaliensis,PKS,7,0.2702087286527515,0.9941176470588236,0.9235294117647059
BGC0003085,Aspergillus ustus ustus 3.3904 ,NRPS,3,0.1620493358633776,0.993168880455408,0.8115749525616698
BGC0003101,Myroides   odoratus CIP 103059,RiPP,12,0.24819734345351047,0.9925996204933587,0.8688804554079697
BGC0001624,Pestalotiopsis fici,other,12,0.23586337760910814,0.9922201138519924,0.3764705882352941
BGC0001454,Streptomyces argillaceus,other,1,0.01631878557874763,0.9920303605313093,0.937381404174573
BGC0000811,Aspergillus fumigatus Af293,other,11,0.5003795066413662,0.9916508538899431,0.4751423149905123
BGC0002571,Pseudomonas syringae pv. tomato str. DC3000,NRPS,63,0.751043643263757,0.99146110056926,0.6428842504743832
BGC0001285,Pseudomonas putida,other,16,0.20246679316888044,0.9910815939278937,0.8222011385199242
BGC0001078,Streptomyces sp. KO-3988,hybrid,23,0.43662239089184063,0.9907020872865275,0.1950664136622391
BGC0000207,Streptomyces chartreusis,PKS,13,0.198292220113852,0.9905123339658444,0.6432637571157496
BGC0000249,Streptomyces nogalater,PKS,10,0.1825426944971537,0.9905123339658444,0.40208728652751424
BGC0000278,Streptomyces fradiae,PKS,5,0.14402277039848196,0.9893738140417457,0.730550284629981
BGC0001518,Aspergillus oryzae RIB40,terpene,10,0.5286527514231498,0.9893738140417457,0.6927893738140417
BGC0000189,Xenorhabdus bovienii SS-2004,PKS,8,0.30075901328273247,0.9891840607210627,0.8349146110056926
BGC0001529,Streptomyces sp. RI18,other,10,0.6597722960151802,0.9889943074003795,0.4258064516129032
BGC0001395,Actinoplanes teichomyceticus,other,18,0.40227703984819735,0.9889943074003795,0.527134724857685
BGC0001891,Ruminiclostridium cellulolyticum H10,other,11,0.4795066413662239,0.9878557874762808,0.7673624288425047
BGC0002387,Micromonospora yangpuensis,PKS,34,0.7757115749525616,0.9872865275142315,0.36660341555977227
BGC0002747,Lentinula edodes,RiPP,11,0.3438330170777989,0.9869070208728653,0.6483870967741936
BGC0002002,Serratia fonticola,NRPS,14,0.47798861480075905,0.9869070208728652,0.5838709677419355
BGC0002554,Streptomyces exfoliatus,other,8,0.40227703984819735,0.9869070208728652,0.49316888045540797
BGC0000387,Pseudomonas syringae pv. syringae,NRPS,13,0.11309297912713473,0.9867172675521823,0.7311195445920304
BGC0003104,Myroides  odoratus CIP 103059,RiPP,15,0.22979127134724858,0.9867172675521823,0.8383301707779887
BGC0000188,Cylindrospermopsis raciborskii T3,other,34,0.48500948766603413,0.9851992409867173,0.38500948766603416
BGC0001585,Escovopsis weberi,other,11,0.6741935483870968,0.9850094876660341,0.4607210626185958
BGC0000652,Streptomyces sp. CNQ525,terpene,26,0.17400379506641367,0.9848197343453511,0.38462998102466794
BGC0000696,Micromonospora echinospora,other,65,0.6020872865275142,0.9846299810246679,0.15009487666034155
BGC0000874,Streptomyces griseochromogenes,other,28,0.44914611005692595,0.9836812144212523,0.23225806451612901
BGC0001525,Synechocystis salina LEGE 06155,other,11,0.35142314990512336,0.9827324478178369,0.7865275142314991
BGC0001735,Streptomyces antibioticus,other,32,0.7893738140417457,0.9827324478178368,0.6833017077798862
BGC0000894,Monascus aurantiacus,other,7,0.2396584440227704,0.9821631878557875,0.5129032258064516
BGC0002750,Streptomyces sp. CLI2509,RiPP,1,0.12580645161290321,0.9819734345351043,0.9996204933586338
BGC0001079,Streptomyces aculeolatus,hybrid,31,0.2032258064516129,0.9819734345351043,0.38804554079696396
BGC0001372,Penicillium thymicola,terpene,14,0.3584440227703985,0.9815939278937382,0.31612903225806455
BGC0003096,Rothia   dentocariosa M567,RiPP,19,0.6612903225806452,0.9810246679316887,0.8409867172675523
BGC0002805,Streptomyces mirabilis strain P8-A,other,34,0.8499051233396584,0.9798861480075901,0.1950664136622391
BGC0002553,Rathayibacter iranicus,other,16,0.2908918406072106,0.9793168880455407,0.8787476280834914
BGC0001083,Streptomyces sp. CNH189,hybrid,41,0.7943074003795066,0.9791271347248577,0.17172675521821631
BGC0002248,Aspergillus flavus NRRL3357,hybrid,8,0.22599620493358635,0.9791271347248577,0.5426944971537002
BGC0000810,Zea mays,other,17,0.16717267552182163,0.9789373814041746,0.9631878557874762
BGC0000863,Pseudoalteromonas sp. DS-12,other,4,0.6366223908918407,0.977988614800759,0.823719165085389
BGC0002443,Streptomyces olivaceus,PKS,23,0.8176470588235294,0.977988614800759,0.24857685009487668
BGC0002675,Pseudoalteromonas rubra,PKS,13,0.3159392789373814,0.9776091081593927,0.7341555977229601
BGC0001879,Pseudomonas fluorescens,other,46,0.19487666034155599,0.9776091081593927,0.8990512333965844
BGC0001925,Streptomyces sp.,other,18,0.4698292220113852,0.9772296015180266,0.13263757115749525
BGC0002372,Streptomyces sp.,hybrid,16,0.6385199240986716,0.9759013282732447,0.5442125237191651
BGC0000838,Flavobacterium johnsoniae UW101,PKS,36,0.7582542694497154,0.9759013282732447,0.8960151802656546
BGC0002198,Aspergillus terreus var. terreus,NRPS,40,0.5857685009487666,0.9759013282732447,0.2971537001897533
BGC0000873,Saccharothrix mutabilis subsp. capreolus,other,32,0.6660341555977229,0.9753320683111955,0.24800759013282733
BGC0002036,Streptomyces lavendulae,other,13,0.1956356736242884,0.9753320683111955,0.3535104364326376
BGC0003024,Aspergillus fumigatus Af293,NRPS,1,0.06793168880455408,0.9753320683111955,0.888235294117647
BGC0000815,Epichloe uncinata,other,9,0.1425047438330171,0.9753320683111955,0.6182163187855787
BGC0002429,Colletotrichum higginsianum IMI 349063,hybrid,10,0.6550284629981025,0.9751423149905123,0.34573055028462996
BGC0000258,Serratia sp.,PKS,17,0.29430740037950665,0.9749525616698291,0.6089184060721062
BGC0001534,Streptomyces filamentosus,other,4,0.036053130929791274,0.9738140417457306,0.8379506641366223
BGC0002174,Epichloe festucae,NRPS,1,0.20740037950664136,0.9738140417457306,0.989753320683112
