rank,bgc_id,organism,biosynth_class,novelty,knn_mean_dist,nearest_dist,nearest_mibig,neighbor_class,compounds,n_genes
1,BGC0002977,Bacillus  subtilis  fmb60,hybrid,1.0,367.4756591796875,365.9906005859375,BGC0000081,hybrid,amicoumacins D;amicoumacins E;lipoamides D;lipoamides E;lipoamides F,4117
2,BGC0000103,Mycobacterium ulcerans Agy99,PKS,0.9996378123868164,153.69561462402345,139.541748046875,BGC0000038,PKS,mycolactone B,9
3,BGC0002124,Actinomadura verrucosospora NRRL:B18236,PKS,0.9992756247736327,135.50924072265624,113.91661071777344,BGC0002587,PKS,SF2487,47
4,BGC0000315,Streptomyces coelicolor A3(2),NRPS,0.9989134371604491,119.44578704833984,85.95256042480469,BGC0000324,NRPS,CDA1b;CDA2a;CDA2b;CDA3a;CDA3b;CDA4a;CDA4b,40
5,BGC0002808,Streptomyces scabiei 87.22,PKS,0.9985512495472655,86.22831115722656,84.04911804199219,BGC0001063,hybrid,N-coronafacoyl-L-isoleucine,15
6,BGC0002367,Streptomyces scabiei 87.22,NRPS,0.99800796812749,81.26402587890625,72.89860534667969,BGC0002569,NRPS,rotihibin A,14
7,BGC0002689,Stenotrophomonas maltophilia K279a,NRPS,0.9976457805143064,78.10361175537109,67.4789047241211,BGC0000914,other,"2,3-dihydroxybenzoylserine",19
8,BGC0000423,Streptomyces scabiei 87.22,NRPS,0.9976457805143064,76.5008544921875,58.168800354003906,BGC0002569,NRPS,scabichelin,10
9,BGC0000038,Streptomyces coelicolor A3(2),PKS,0.9972835929011228,77.92671203613281,72.78031921386719,BGC0000663,terpene,coelimycin P1,24
10,BGC0002587,Streptomyces ossamyceticus,PKS,0.9967403114813473,73.97275848388672,71.18379974365234,BGC0001194,PKS,ossamycin,31
11,BGC0000324,Streptomyces coelicolor A3(2),NRPS,0.9963781238681637,72.98448638916015,71.03575134277344,BGC0000325,NRPS,coelibactin,11
12,BGC0002569,Burkholderia cenocepacia J2315,NRPS,0.9960159362549801,66.34251708984375,58.168800354003906,BGC0000423,NRPS,ornibactin C8;ornibactin C4;ornibactin C6,15
13,BGC0000325,Streptomyces coelicolor A3(2),NRPS,0.995110467222021,61.7158317565918,57.13176345825195,BGC0000551,RiPP,coelichelin,11
14,BGC0000182,Pseudomonas fluorescens,PKS,0.9947482796088374,58.9552360534668,44.15802764892578,BGC0001115,hybrid,pseudomonic acid A,36
15,BGC0002490,Yersinia pestis CO92,other,0.9943860919956538,54.70922317504883,51.51036834716797,BGC0002060,PKS,yersinopine,6
16,BGC0000914,Streptomyces coelicolor A3(2),other,0.9940239043824701,50.079325103759764,38.7484016418457,BGC0000194,PKS,methylenomycin A,21
